TCP | 03/29/1999 08:56:13 | 172.16.112.149:24699 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 10:19:06 | 196.227.33.189:10784 | 172.16.114.207:25 | Normal
TCP | 03/29/1999 09:17:31 | 172.16.112.149:26703 | 207.121.186.144:80 | Normal
TCP | 03/29/1999 12:28:51 | 172.16.113.84:14361 | 135.13.216.191:25 | Normal
TCP | 03/29/1999 09:20:57 | 172.16.112.149:6266 | 207.121.186.144:80 | Normal
TCP | 03/29/1999 09:06:26 | 172.16.117.52:26931 | 206.190.45.108:80 | Normal
TCP | 03/29/1999 12:09:46 | 196.37.75.158:22572 | 172.16.114.50:80 | Normal
TCP | 03/29/1999 09:09:39 | 172.16.117.52:4204 | 199.95.73.149:80 | Normal
TCP | 03/29/1999 09:19:50 | 172.16.112.149:2638 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:02:58 | 172.16.112.149:14924 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:01:12 | 172.16.112.149:9886 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:04:20 | 172.16.116.194:19496 | 143.166.224.42:80 | Normal
TCP | 03/29/1999 09:21:14 | 172.16.112.149:7194 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:58:39 | 172.16.117.52:31779 | 206.152.10.38:80 | Normal
TCP | 03/29/1999 10:10:15 | 195.115.218.108:9403 | 172.16.114.50:80 | Normal
TCP | 03/29/1999 11:09:57 | 172.16.113.84:31389 | 196.227.33.189:25 | Normal
TCP | 03/29/1999 09:15:35 | 172.16.112.149:20739 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:55:24 | 172.16.114.148:22584 | 204.71.200.74:80 | Normal
TCP | 03/29/1999 08:51:53 | 172.16.116.44:18513 | 207.46.176.50:80 | Normal
TCP | 03/29/1999 09:13:04 | 172.16.112.149:14342 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 09:01:01 | 172.16.112.149:9340 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 08:47:26 | 172.16.115.87:14166 | 199.95.209.99:80 | Normal
TCP | 03/29/1999 09:09:07 | 172.16.112.149:3234 | 207.121.184.81:80 | Normal
TCP | 03/29/1999 11:46:48 | 195.73.151.50:18292 | 172.16.114.50:80 | Normal
