TCP | 03/30/1999 11:47:22 | 196.227.33.189:15394 | 172.16.112.100:21 | 31.26
TCP | 03/30/1999 08:09:18 | 135.8.60.182:1026 | 172.16.112.194:21 | 50.52
TCP | 03/30/1999 08:04:08 | 196.37.75.158:1172 | 172.16.112.100:21 | 35.17
TCP | 03/30/1999 12:08:22 | 135.8.60.182:16860 | 172.16.112.100:21 | 32.35
TCP | 03/30/1999 09:44:34 | 195.115.218.108:7770 | 172.16.112.100:21 | 57.28
TCP | 03/30/1999 10:06:17 | 172.16.114.169:21654 | 197.218.177.69:21 | 31.57
TCP | 03/30/1999 13:08:43 | 172.16.114.169:10780 | 197.218.177.69:21 | 31.69
TCP | 03/30/1999 11:53:41 | 172.16.113.105:22762 | 197.218.177.69:21 | 29.63
TCP | 03/30/1999 11:10:44 | 194.27.251.21:12392 | 172.16.112.100:21 | 69.71
TCP | 03/30/1999 09:22:02 | 135.8.60.182:4929 | 172.16.112.100:21 | 31.37
TCP | 03/30/1999 08:17:24 | 172.16.114.207:3080 | 197.218.177.69:21 | 25.49
TCP | 03/30/1999 14:37:39 | 195.115.218.108:3982 | 172.16.112.100:21 | 104.5
TCP | 03/30/1999 14:32:15 | 205.160.208.190:2059 | 172.16.112.100:21 | 71.08
TCP | 03/30/1999 08:32:12 | 172.16.114.169:4571 | 197.218.177.69:21 | 76.03
TCP | 03/30/1999 09:47:34 | 197.218.177.69:8253 | 172.16.112.100:21 | 33.78
TCP | 03/30/1999 12:41:22 | 135.13.216.191:21610 | 172.16.112.100:21 | 127.58
TCP | 03/30/1999 09:10:46 | 172.16.112.50:32853 | 197.182.91.233:21 | 72.16
TCP | 03/30/1999 11:32:22 | 195.73.151.50:14300 | 172.16.112.100:21 | 29.98
TCP | 03/30/1999 11:29:19 | 206.222.3.197:1753 | 172.16.112.50:21 | 51.71
TCP | 03/30/1999 11:09:26 | 135.8.60.182:12368 | 172.16.112.100:21 | 30.87
TCP | 03/30/1999 10:36:43 | 172.16.114.169:12370 | 197.218.177.69:21 | 28.81
TCP | 03/30/1999 14:00:20 | 172.16.114.168:24409 | 197.218.177.69:21 | 27.06
TCP | 03/30/1999 09:23:29 | 135.8.60.182:5187 | 172.16.112.100:21 | 127.95
TCP | 03/30/1999 15:42:39 | 195.73.151.50:12395 | 172.16.112.100:21 | 32.04
TCP | 03/30/1999 08:34:00 | 197.218.177.69:2136 | 172.16.112.100:21 | 27.92
TCP | 03/30/1999 09:21:23 | 135.8.60.182:4563 | 172.16.112.100:21 | 73.85
TCP | 03/30/1999 12:48:12 | 172.16.114.50:3162 | 197.218.177.69:21 | 62.16
TCP | 03/30/1999 10:24:38 | 135.8.60.182:10354 | 172.16.112.100:21 | 31.89
TCP | 03/30/1999 15:02:03 | 197.182.91.233:8253 | 172.16.112.100:21 | 28.78
TCP | 03/30/1999 14:25:52 | 172.16.113.84:23004 | 197.218.177.69:21 | 29.74
TCP | 03/30/1999 14:56:00 | 197.218.177.69:7209 | 172.16.112.100:21 | 32.61
TCP | 03/30/1999 11:35:54 | 195.73.151.50:14460 | 172.16.112.100:21 | 28.88
TCP | 03/30/1999 10:07:16 | 172.16.113.204:22634 | 197.218.177.69:21 | 28.72
TCP | 03/30/1999 11:26:47 | 195.115.218.108:13900 | 172.16.112.100:21 | 30.34
TCP | 03/30/1999 13:01:47 | 172.16.114.207:31316 | 197.218.177.69:21 | 26.85
TCP | 03/30/1999 08:59:49 | 172.16.113.105:15905 | 197.218.177.69:21 | 57.69
TCP | 03/30/1999 14:20:21 | 172.16.112.50:33134 | 197.218.177.69:21 | 34.36
TCP | 03/30/1999 13:03:32 | 172.16.112.207:2089 | 197.218.177.69:21 | 33.1
TCP | 03/30/1999 08:59:37 | 172.16.114.207:15637 | 197.218.177.69:21 | 28.63
TCP | 03/30/1999 15:05:36 | 195.115.218.108:8295 | 172.16.112.100:21 | 30.55
TCP | 03/30/1999 14:45:56 | 172.16.112.207:22624 | 197.218.177.69:21 | 29.64
TCP | 03/30/1999 09:09:53 | 172.16.114.148:25371 | 197.218.177.69:21 | 30.86
TCP | 03/30/1999 09:07:59 | 135.8.60.182:4179 | 172.16.112.100:21 | 33.59
TCP | 03/30/1999 11:23:46 | 172.16.113.105:23651 | 197.218.177.69:21 | 30.93
TCP | 03/30/1999 13:47:34 | 194.7.248.153:28049 | 172.16.112.100:21 | 30.28
TCP | 03/30/1999 12:02:36 | 172.16.114.148:32137 | 197.218.177.69:21 | 31.41
TCP | 03/30/1999 13:08:37 | 172.16.113.84:10763 | 197.218.177.69:21 | 30.89
TCP | 03/30/1999 13:59:09 | 135.8.60.182:29561 | 172.16.112.100:21 | 34.7
TCP | 03/30/1999 13:59:59 | 196.37.75.158:29777 | 172.16.112.100:21 | 37.05
TCP | 03/30/1999 15:51:16 | 172.16.114.148:4205 | 197.218.177.69:21 | 31.36
Max attack 21 : 127.95192655532394
Min attack 21 : 25.492632179757937
Max free 21 : 104.39182270045268
Min free 21 : 27.378902972057624
Total time is : 0 hour 0 minutes 0 seconds
Total attack packet: 50
Total free packet: 22

TCP | 03/30/1999 15:47:17 | 135.8.60.182:13346 | 172.16.112.194:23 | 33.0
TCP | 03/30/1999 15:21:25 | 172.16.114.168:11130 | 197.182.91.233:23 | 24.35
TCP | 03/30/1999 14:39:05 | 194.7.248.153:4256 | 172.16.112.50:23 | 26.52
TCP | 03/30/1999 09:11:14 | 194.7.248.153:4202 | 172.16.112.194:23 | 28.1
TCP | 03/30/1999 09:10:49 | 135.13.216.191:4194 | 172.16.114.50:23 | 94.11
TCP | 03/30/1999 13:40:03 | 195.115.218.108:26962 | 172.16.112.50:23 | 24.01
TCP | 03/30/1999 09:01:39 | 202.77.162.213:1026 | 172.16.114.50:23 | 48.07
TCP | 03/30/1999 13:59:09 | 135.13.216.191:29575 | 172.16.112.50:23 | 34.09
TCP | 03/30/1999 14:26:08 | 135.8.60.182:2139 | 172.16.114.50:23 | 34.24
TCP | 03/30/1999 11:47:10 | 206.222.3.197:1876 | 172.16.112.50:23 | 27.81
TCP | 03/30/1999 11:00:51 | 195.73.151.50:11591 | 172.16.113.84:23 | 71.23
TCP | 03/30/1999 12:22:13 | 197.218.177.69:1108 | 172.16.114.50:23 | 32.71
TCP | 03/30/1999 14:16:26 | 194.7.248.153:1111 | 172.16.112.194:23 | 32.06
TCP | 03/30/1999 11:53:41 | 194.7.248.153:15708 | 172.16.112.194:23 | 28.81
